issue_id,run_id,url,severity,issue_code,title,description,evidence_json,issue_provenance,technical_seo_gate,verification_status,confidence_score,certainty_state,priority_score,page_importance,reach,urgency,affected_count,affected_ratio,template_cluster,affected_page_types
57,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/plumbers,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
61,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/dentists,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
64,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/dentists,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
86,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/hvac,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
89,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/hvac,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
93,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/orthodontists,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
96,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/orthodontists,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
118,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/lawyers,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
121,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/lawyers,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
125,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/foundation-repair,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
128,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/foundation-repair,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
150,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/med-spas,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
153,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/med-spas,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
157,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/auto-body,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
160,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/auto-body,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
176,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/lawyers,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
179,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/lawyers,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
183,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/vets,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
186,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/vets,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
196,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/med-spas,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
199,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/med-spas,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
203,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/orthodontists,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
206,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/orthodontists,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
210,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/plumbers,medium,BING_PREVIEW_CONTROLS_RESTRICTIVE,Bing-facing preview controls are restrictive,Current preview directives are restrictive enough to reduce snippet/answer-surface visibility for Bing consumption.,"{""classification"": ""likely_accidental_suppression"", ""restriction_score"": 4, ""reasons"": [""max_snippet_le_zero"", ""max_video_preview_le_zero""], ""page_importance"": 1.0}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,22,0.4,other-template,"homepage,other"
213,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/plumbers,medium,EXACT_CONTENT_DUPLICATE,Exact duplicate content,Visible page text exactly matches other indexable pages after normalization.,"{""content_hash"": ""0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df"", ""duplicate_count"": 55, ""sample_urls"": [""https://void-agency.com/"", ""https://void-agency.com/auto-body"", ""https://void-agency.com/dentists"", ""https://void-agency.com/foundation-repair"", ""https://void-agency.com/hvac"", ""https://void-agency.com/insights"", ""https://void-agency.com/insights/builder-incentives"", ""https://void-agency.com/insights/case-study""]}",both,indexability,automated,95,Verified,31,1.0,sitewide,1.35,55,1.0,content-template,"article,homepage,legal,other"
